Languages,Location,Speakers 2007,Speakers 2008,Speakers 2009,Speakers 2010,Speakers 2011,Speakers 2012,Speakers 2013,Speakers 2014,Speakers 2015,Articles 2007,Articles 2008,Articles 2009,Articles 2010,Articles 2011,Articles 2012,Articles 2013,Articles 2014,Articles 2015,Users 2007,Users 2008,Users 2009,Users 2010,Users 2011,Users 2012,Users 2013,Users 2014,Users 2015
Lombard,Southern Europe,9133855,9133855,9133855,9133855,9133855,9133855,9133855,3903000,3903000,18214,4752,7238,18492,23679,27991,29248,31492,32765,413,1843,4113,6550,8698,10852,12874,14281,16065
Low Saxon,Western Europe,10000000,10000000,10000000,3000000,3000000,3000000,3000000,3000000,3000000,11279,13715,15414,16798,18360,20101,21019,22383,24534,814,2976,6846,11064,14777,17981,20679,22683,25269
Lower Sorbian,Western Europe,6900,6900,6900,6900,6900,6900,6900,6900,6900,289,289,496,678,948,1547,1718,2253,2999,946,946,2302,3770,5017,6571,7819,8815,10096
Luganda,Africa,4100000,4100000,4100000,4100000,4100000,4100000,4100000,4100000,4100000,19,37,40,128,142,142,166,360,707,126,515,919,1389,1771,1771,2594,3065,3530
Luxembourgish,Western Europe,390618,390618,390618,390618,390618,390618,390618,336710,336710,18896,25771,28366,31633,34562,37685,40084,42545,45096,1375,4154,8415,12316,15837,19934,23386,26196,29638
Macedonian,Eastern Europe,1600000,1600000,2113170,2113170,2113170,2113170,2113170,1407810,1407810,22693,22693,37340,42856,53387,67237,74785,80188,84546,2545,7573,16371,24814,32450,39953,47608,52586,58735
Maithili,South Asia,0,0,0,0,0,0,30000000,30000000,30000000,47114,47114,47114,47114,47114,47114,47114,529,1594,6832,6832,6832,6832,6832,6832,6832,338,1489
Malagasy,Africa,1473600,1473600,1473600,1473600,1473600,20000000,20000000,18000000,18000000,324,712,1876,3803,28096,40993,241227,53370,81137,200,784,1858,2928,4156,5485,126189,8034,11182
Malay,Southeast Asia,21000000,21000000,21000000,21000000,21000000,21000000,21000000,15848500,15848500,25802,33329,59601,95401,129675,157022,33964,271644,279754,16671,30274,47540,67178,85664,105687,54175,145200,166381
Malayalam,South Asia,35757100,35757100,35757100,35757100,35757100,35757100,35757100,33550900,33550900,5133,8511,11633,16107,21835,27891,3008,37622,41208,4214,8290,14677,22757,31500,43563,8563,65064,77594
Maltese,Southern Europe,520000,520000,520000,520000,520000,520000,520000,520000,520000,1744,2281,2514,2755,2936,2936,4675,3139,3137,423,1449,3020,4511,5808,7204,8067,9691,10990
Manx,Western Europe,150,150,150,150,150,150,150,150,150,296,2092,3004,3671,3923,4189,7042,4809,4821,212,1112,2550,4070,5384,6822,5750,9020,10131
Maori,Oceania,150000,150000,150000,150000,150000,150000,150000,150000,150000,6389,6481,6515,6667,6960,7026,39722,7068,7095,296,1053,2082,3023,3901,4880,39970,6402,7175
Marathi,South Asia,71000000,71000000,71000000,71000000,71000000,71000000,71000000,71780660,71780660,14628,21274,26023,32122,34809,38191,10,41015,42827,1750,4346,8676,13905,21115,30810,1733,49937,61997
Mazanderani,Caucasus Central Asia & Middle East,3270000,3270000,3270000,3270000,3270000,3270000,3270000,3270000,3270000,150,1202,2407,2976,3295,10305,10621,12016,12181,92,597,1434,2504,3638,5839,7597,9060,10816
Min Dong,East Asia,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,157,212,229,274,311,427,498,1551,3651,122,748,2603,4153,5332,6520,7594,8626,10056
Min Nan (Taiwanese Hokkien),East Asia,46619500,46619500,46619500,46619500,46619500,46619500,46619500,46619500,46619500,2830,4285,6369,7668,9793,10053,11094,11936,107801,386,1914,5789,9518,12611,16057,18835,20879,23572
Mingrelian,Caucasus Central Asia & Middle East,0,0,0,0,500000,500000,500000,500000,500000,1752,1752,1752,1752,1752,4009,4715,4826,5388,1000,1000,1000,1000,1179,3002,4383,5325,6518
Mirandese,Southern Europe,0,0,15000,15000,15000,15000,15000,15000,15000,217,217,217,495,630,954,2143,2197,2725,828,828,828,1975,2924,3949,4924,5615,6385
Moksha,Eastern Europe,0,390000,390000,390000,390000,390000,390000,390000,390000,292,292,330,542,1031,1134,1177,1221,1130,500,504,1125,1786,2459,3144,3705,4130,4624
Mongolian,East Asia,5756590,5756590,5756590,5756590,5756590,5756590,5756590,5756590,5756590,1159,1906,3863,5583,7067,8516,11746,13886,15106,1061,3158,6652,11087,15690,21043,26681,31986,37266
Nahuatl,North America,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,4222,5563,6037,6390,8113,9017,9446,10265,11127,296,1532,3340,5127,6620,8471,9842,10967,12311
Nauruan,Oceania,6000,6000,6000,6000,6000,6000,6000,6000,6000,262,279,311,333,672,727,821,1246,1249,201,769,1510,2180,2994,3735,4327,4827,5406
Navajo,North America,170000,170000,170000,170000,170000,170000,170000,170000,170000,125,226,1107,1886,2244,2409,2428,2432,2459,145,661,1677,3093,4279,5601,6660,7493,8266
Neapolitan,Southern Europe,7500000,7500000,7500000,7500000,7500000,7500000,7500000,5700000,5700000,12695,12932,13074,13155,13548,13602,13991,14304,14291,638,2032,4098,6021,7876,9425,10966,12332,14058
Nepali,South Asia,13875700,13875700,13875700,13875700,13875700,13875700,13875700,16148100,16148100,2346,2718,2941,10543,17877,22408,25173,26933,27595,476,1451,3011,5206,8338,11537,14610,19692,25277
Newar (Nepal Bhasa),Southeast Asia,1250000,1250000,1250000,1250000,1250000,1250000,1250000,861000,861000,39745,45247,59919,69557,69801,69543,70269,71163,72346,180,1839,4446,6101,7491,8961,10373,12054,13991
Norfolk,Oceania,400,400,400,400,400,400,400,400,400,113,149,272,330,355,379,446,462,466,132,606,1333,1966,2751,3391,4026,4542,5228
Norman,Southern Europe,100000,100000,100000,100000,100000,100000,100000,100000,100000,2827,3244,3434,3457,3484,3532,3555,3570,3598,159,903,2013,3060,3960,4982,5815,6456,7162
North Frisian,Western Europe,0,0,0,30000,30000,30000,30000,30000,30000,1050,1050,1050,1050,1750,2942,6077,6186,4291,400,400,400,1429,2527,3812,5072,6021,7289
Northern Luri,Caucasus Central Asia & Middle East,0,0,0,0,0,0,0,5000000,5000000,7717,7717,7717,7717,7717,7717,7717,7717,4917,800,800,800,800,800,800,800,981,839
Northern Sami,Northern Europe,25000,25000,25000,25000,25000,25000,25000,25000,25000,2636,2750,2835,3043,3923,6654,7638,1001,7225,260,1500,3530,5386,7007,8977,10704,1812,13422
Northern Sotho,Africa,0,0,0,0,13800000,13800000,13800000,13800000,13800000,560,560,560,560,560,686,688,403416,2741,300,300,300,300,332,928,1420,316243,2296
Norwegian,Northern Europe,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000,144593,202595,241969,285498,322518,363468,403938,118318,428987,64069,100523,142226,183074,219478,256976,288486,61053,347410
Occitan,Southern Europe,1100000,1100000,1100000,1100000,1100000,1100000,1100000,218310,218310,10959,16555,20532,23022,56394,70969,86041,549,89058,511,2493,5772,8908,11850,15240,18822,12261,25112
Oriya,South Asia,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000,529,543,553,638,1922,3183,5093,8563,10196,129,602,1145,1690,2810,4443,6089,8330,10584
Ossetian,Caucasus Central Asia & Middle East,577450,577450,577450,577450,577450,577450,577450,577450,577450,1872,2280,4653,7492,8331,8769,9065,647,10211,235,1201,3274,5466,7455,9506,11159,3582,13624
Pangasinan,Southeast Asia,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,2807,3143,3237,3412,3385,3762,3855,2808,2514,119,613,1220,1747,2238,2773,3286,3122,4160
Papiamentu,Caribbean,271261,271261,271261,271261,271261,271261,271261,271261,271261,122,512,656,1037,1219,1313,1342,4985,1297,206,784,1569,2440,3298,4170,4940,3704,6156
Pashto,Caucasus Central Asia & Middle East,60000000,60000000,60000000,60000000,60000000,60000000,60000000,60000000,60000000,1169,1318,1601,2073,3109,4631,4921,1403,6495,324,1176,2528,3886,5167,6870,8218,5508,11333
Pennsylvania German,North America,300000,300000,300000,300000,300000,300000,300000,300000,300000,1499,1750,1731,1801,1779,1815,1861,1913,1755,250,1639,4343,7092,9306,11679,13704,15304,17259
Persian,Caucasus Central Asia & Middle East,110000000,110000000,110000000,110000000,110000000,110000000,110000000,72279286,72279286,29070,53182,87738,113459,168582,236546,345269,439682,478754,75906,113228,152996,201170,258928,320630,386293,462662,547230
Picard,Southern Europe,700000,700000,700000,700000,700000,700000,700000,700000,700000,1388,1388,1388,1388,1832,2278,2577,2863,3075,1488,1488,1488,1488,2361,3408,4327,5080,5953
Piedmontese,Southern Europe,0,0,0,3106620,3106620,3106620,3106620,1600000,1600000,12111,19332,22460,31852,49997,56800,62920,63675,63869,229,1533,3504,5595,7567,9466,11127,12531,14201
Polish,Eastern Europe,44000000,44000000,44000000,44000000,44000000,44000000,44000000,38663780,38663780,453132,564604,663516,762209,861254,940688,1018881,1083451,1150196,161069,239530,326382,405519,465762,530261,593376,657910,728422
Portuguese,Southern Europe,230000000,230000000,230000000,230000000,230000000,230000000,230000000,220000000,220000000,348500,448648,533159,663872,708917,764860,810072,859693,901150,319613,485441,663129,813617,947760,1087409,1233869,1427318,1687194
Punjabi,South Asia,29514770,29514770,29514770,29514770,29514770,29514770,29514770,29514770,100000000,272,402,1492,1946,3362,4801,8383,16260,20333,294,907,1783,2758,3845,5289,6966,9360,13107
Quechua,South America,10400000,10400000,10400000,10400000,10400000,10400000,10400000,8912820,8912820,5582,9449,11131,16240,16780,17478,18572,19230,19436,324,1597,3852,6206,8175,10164,11866,13155,14942
Ripuarian,Western Europe,250000,250000,250000,250000,900000,900000,900000,900000,900000,7210,9238,10647,10965,2501,2633,2704,2740,2781,296,1846,4225,6612,8640,10135,11391,12253,13400
Romani,Eastern Europe,400000,400000,400000,400000,400000,400000,400000,400000,400000,271,473,486,492,539,540,544,560,580,144,946,2306,3844,5178,6481,7588,8486,9660
Romanian,Eastern Europe,23498367,23498367,23498367,23498367,23498367,23498367,23498367,23782990,23782990,98662,119658,136014,154439,170914,221685,238298,257088,353685,46863,78029,122689,168107,208030,245136,278461,316198,359008
Romansh,Western Europe,60000,60000,60000,60000,60000,60000,60000,60000,60000,1576,3135,3196,3164,3295,3404,3474,3539,3560,245,1251,2684,4027,5151,6364,7428,8330,9319
Russian,Eastern Europe,277000000,277000000,277000000,277000000,277000000,277000000,277000000,167332230,167332230,222800,343034,475220,642977,806426,946293,1075820,1174662,1277951,92216,204323,399521,594285,771818,972363,1171918,1488198,1818832
Rusyn,Eastern Europe,0,0,0,0,62000,62000,62000,62000,62000,3432,3432,3432,3432,3432,4654,5970,6082,5724,3088,3088,3088,3088,3088,5344,7307,9024,10846
Sakha (Yakut),Caucasus Central Asia & Middle East,0,450000,450000,450000,450000,450000,450000,450000,450000,996,996,5619,7277,7898,8464,9868,10680,10677,696,696,2245,3978,5414,6919,8238,9507,10843
Samoan,Oceania,510000,510000,510000,510000,510000,510000,510000,510000,510000,180,363,390,405,419,426,432,437,424,167,664,1266,1780,2326,2857,3319,3689,4101
Samogitian,Northern Europe,500000,500000,500000,500000,500000,500000,500000,500000,500000,4610,7850,12433,12594,13142,13368,13647,13707,14325,193,1514,3827,6175,8171,10048,11782,13012,14591
Sanskrit,South Asia,15770,15770,15770,15770,15770,15770,15770,15770,15770,3874,3867,3887,3998,7009,8483,9373,10299,10040,381,1268,2667,4078,5793,8097,10237,12712,15712
Sardinian,Southern Europe,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,329,1013,2069,2471,2675,2816,3216,4436,5132,252,1007,2453,3875,4974,6308,7362,8358,9593
Saterland Frisian,Western Europe,0,1000,1000,1000,1000,1000,1000,1000,1000,800,800,1167,1716,2028,2583,3035,3361,3677,592,592,1733,2751,3708,4757,5649,6354,7139
Scots,Western Europe,100000,100000,100000,100000,100000,100000,100000,100000,100000,2126,2521,2844,5331,7884,12187,19242,28672,35884,616,2258,5188,8510,11791,15937,20230,24544,29980
Scottish Gaelic,Western Europe,63130,63130,63130,63130,63130,63130,63130,63130,63130,4825,6765,7715,8094,8704,11173,11847,18858,13587,407,1615,3467,5318,6941,8682,10149,11565,13071
Serbian,Eastern Europe,11144758,11144758,11144758,11144758,11144758,11144758,11144758,8957906,8957906,57501,69811,105779,137113,151736,174867,241565,312906,329831,14093,28367,52341,75469,94500,114999,134017,151823,173415
Serbo-Croatian,Eastern Europe,21000000,21000000,21000000,21000000,21000000,21000000,21000000,17057286,17057286,14303,20507,26931,36701,52048,75473,94108,275680,429475,2874,7881,17129,26859,36494,49097,60833,71899,87346
Shona,Africa,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,28,32,54,103,864,1306,2002,2133,2457,122,484,978,1544,2357,3461,4282,5024,5829
Sicilian,Southern Europe,4832520,4832520,4832520,4832520,4832520,4832520,4832520,4700000,4700000,11428,13263,15368,16144,17671,22760,23311,24665,25344,843,2734,6122,9471,12023,14998,17389,19508,22140
Silesian,Eastern Europe,0,510000,510000,510000,510000,510000,510000,510000,510000,1100,1100,1619,1850,1998,2095,2408,3134,4189,1480,1480,3145,4887,6265,7635,8849,9827,10908
Sindhi,South Asia,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,281,320,348,354,394,362,374,612,4552,245,761,1408,2044,2730,3372,3970,4520,5330
Sinhalese,South Asia,15579980,15579980,15579980,15579980,15579980,15579980,15579980,15579980,15579980,404,878,2539,4404,6020,7032,9351,12022,11586,472,1918,4445,7210,9888,12993,16112,19586,23644
Slovak,Eastern Europe,5011120,5011120,5011120,5011120,5011120,5011120,5011120,5187740,5187740,85085,103654,111622,119483,130764,180497,189474,197285,207798,11356,21893,38545,54343,67717,82820,96122,108535,123202
Slovenian,Eastern Europe,1984775,1984775,1984775,1984775,1984775,1984775,1984775,2085160,2085160,56488,68545,83114,103411,122742,135578,139006,143601,148827,13760,30938,53987,73493,89117,104010,116894,127522,139270
Somali,Africa,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,332,447,782,1583,2278,2620,3036,3738,3738,220,893,1935,3261,4866,6804,8697,10729,13081
Sorani (Central Kurdish),Caucasus Central Asia & Middle East,0,0,200000,200000,200000,200000,200000,200000,200000,693,693,693,3160,4978,11873,13266,15114,16539,893,893,893,2816,5244,8990,12734,16313,20787
Spanish,Western Europe,460000000,460000000,460000000,460000000,460000000,460000000,460000000,470000000,470000000,313000,429950,546234,691777,855710,945189,1067906,1147270,1222552,590563,919263,1323625,1689082,2062381,2474581,2912786,3439989,4048006
Sranan Tongo (Surinaams),South America,0,500000,500000,500000,500000,500000,500000,500000,500000,713,713,724,800,852,1013,1041,1061,1033,476,476,927,1425,1966,2474,2940,3317,3750
Sundanese,Southeast Asia,27000000,27000000,27000000,27000000,27000000,27000000,27000000,34000000,34000000,13229,14332,14543,14703,16683,17340,17557,17785,18612,491,1710,3568,5175,7070,9164,10984,12646,14522
Swahili,Africa,50000000,50000000,50000000,50000000,50000000,50000000,50000000,15457390,15457390,6447,8105,15458,21132,22720,24620,25776,27563,31462,481,1813,4720,8154,11134,14326,17185,19608,22968
Swati (Swazi),Africa,4700000,4700000,4700000,4700000,4700000,4700000,4700000,4700000,4700000,78,146,164,292,359,363,382,409,412,142,558,1043,1582,2113,2711,3248,3669,4135
Swedish,Northern Europe,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9197090,9197090,266750,301718,341342,381351,418832,569005,1606449,1951430,2395373,51900,92549,149863,205251,253972,307007,360165,413252,471716
Tagalog,Southeast Asia,86000000,86000000,86000000,86000000,86000000,86000000,86000000,24245200,24245200,15000,20281,24093,46978,54351,58469,62504,63192,64230,5070,9006,17899,25676,33365,42288,49259,57518,70406
Tahitian,Oceania,68000,68000,68000,68000,68000,68000,68000,68000,68000,500,751,844,864,869,882,895,1306,1169,132,593,1143,1770,2265,2784,3294,3718,4151
Tajik,Caucasus Central Asia & Middle East,4479650,4479650,4479650,4479650,4479650,4479650,4479650,4479650,4479650,8562,8800,8961,9166,9404,10613,25878,30553,40043,388,1500,3300,5005,6527,8286,10005,11679,13869
Tamil,South Asia,74000000,74000000,74000000,74000000,74000000,74000000,74000000,68763360,68763360,12382,16469,20465,26760,43048,50385,58794,65684,82648,2532,6131,14065,23801,34338,46266,59766,74314,93381
Tarantino,Southern Europe,300000,300000,300000,300000,300000,300000,300000,300000,300000,7585,7939,8630,8858,9054,9157,9182,9203,9216,101,805,1740,2832,3540,4322,4996,5492,6103
Tatar,Eastern Europe,5406110,5406110,5406110,5406110,5406110,5406110,5406110,5406110,5406110,4052,3696,5013,8008,14134,16702,56306,65805,68203,298,1300,3203,5645,8502,11336,13841,16239,19116
Telugu,South Asia,75000000,75000000,75000000,75000000,75000000,75000000,75000000,74049000,74049000,38101,41857,44234,46980,49668,50933,54466,60176,63922,3434,7992,12518,17362,22756,28301,33888,42202,51281
Tetum,Southeast Asia,550000,550000,550000,550000,550000,550000,550000,550000,550000,308,342,369,395,648,769,798,1016,1335,162,664,1267,1843,2200,2888,3526,4055,4651
Thai,Southeast Asia,60000000,60000000,60000000,60000000,60000000,60000000,60000000,20396930,20396930,30455,41658,53807,64938,70820,78103,85609,91532,99190,36043,56997,80255,102020,130809,160672,190692,221397,252271
Tibetan,East Asia,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,232,236,1451,2495,5079,6066,6084,6130,5623,197,967,2549,4530,6515,8496,10120,11460,13255
Tigrinya,Africa,6900000,6900000,6900000,6900000,6900000,6900000,6900000,6900000,6900000,178,172,177,248,255,258,270,286,158,130,645,1161,1661,2157,2737,3248,3675,4240
Tok Pisin,Oceania,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,552,831,850,910,1159,1219,1251,1280,1282,234,920,1835,2798,3624,4534,5324,5878,6528
Tongan,Oceania,200000,200000,200000,200000,200000,200000,200000,200000,200000,1354,1488,1490,1507,1646,1651,1647,1649,1672,176,747,1443,2053,2650,3298,3832,4209,4663
Tsonga,Africa,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,16400000,70,150,173,184,192,239,251,320,281,117,531,1132,1712,2228,2884,3398,3816,4284
Tswana (Setswana),Africa,12900000,12900000,12900000,12900000,12900000,12900000,12900000,12900000,12900000,47,103,105,111,425,496,498,514,503,143,579,1099,1615,2339,2937,3491,3945,4480
Turkish,Caucasus Central Asia & Middle East,75000000,75000000,75000000,75000000,75000000,75000000,75000000,70805930,70805930,97220,121548,139078,153355,177852,201434,221608,238076,258649,126000,194522,258843,319814,379402,446725,532069,664318,824466
Turkmen,Caucasus Central Asia & Middle East,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,944,1126,3972,4262,4399,4636,4939,5158,5050,259,1079,2616,4053,5389,6986,8575,9939,11645
Tuvan,Eastern Europe,0,0,0,0,0,0,280000,280000,280000,316,316,316,316,316,316,316,875,1254,200,200,200,200,200,200,704,1619,2496
Twi,Africa,7500000,7500000,7500000,7500000,7500000,,7500000,7500000,7500000,39,60,64,69,126,,224,579,556,184,649,1249,1989,2922,2922,4513,5139,5900
Udmurt,Eastern Europe,340000,340000,340000,340000,340000,340000,340000,340000,340000,311,370,507,820,3057,3109,3385,3533,3665,138,732,1557,2384,3529,4743,5655,6280,7094
Ukrainian,Caucasus Central Asia & Middle East,39441842,39441842,39441842,47000000,37029730,37029730,37029730,36048890,36048890,85111,134736,181194,251344,352334,422669,477656,545075,609801,8981,24360,53919,89102,120393,160813,198971,246616,299609
Upper Sorbian,Western Europe,13000,13000,13000,13000,13000,13000,13000,13000,13000,4822,5206,5803,6255,7041,7536,8066,8666,10197,236,1715,3824,5812,7532,9269,10707,11761,13344
Urdu,South Asia,104000000,104000000,104000000,104000000,104000000,104000000,104000000,63948800,63948800,6671,9469,12396,15172,17379,22613,26204,63700,100021,1182,3608,8304,13203,17797,23283,28748,37146,48604
Uyghur,East Asia,10400000,10400000,10400000,10400000,10400000,10400000,10400000,10400000,10400000,181,175,2206,2872,2894,2906,3126,3419,2561,195,836,2696,4381,5700,7075,8330,9423,10734
Uzbek,Caucasus Central Asia & Middle East,21930230,21930230,21930230,21930230,21930230,21930230,21930230,21930230,21930230,6332,6969,7403,7515,7841,68250,127407,127787,128043,490,1807,4034,6147,8224,11505,15076,19140,24770
Venetian,Southern Europe,3852500,3852500,3852500,3852500,3852500,3852500,3852500,3852500,3852500,6672,7942,8416,8816,9235,9805,10254,10497,10693,421,1775,4086,6448,8268,10485,12441,13963,15731
Vespian,Eastern Europe,1600,0,0,0,0,1600,1600,1600,1600,2762,2762,2762,2762,2762,2762,3757,4118,5002,2315,2315,2315,2315,2315,2315,3589,4529,5592
Vietnamese,Southeast Asia,86000000,86000000,86000000,86000000,86000000,86000000,86000000,73600000,73600000,27816,70725,107912,146455,234296,568754,884675,1111349,1141943,60761,96807,151890,209996,262267,313427,366085,416653,475444
Võro,Northern Europe,87000,87000,87000,87000,87000,87000,87000,87000,87000,1403,2019,4114,4406,4722,5084,5135,5336,5384,161,802,1824,2945,3860,4857,5765,6441,7279
Walloon,Western Europe,1120000,1120000,1120000,1120000,1120000,1120000,1120000,600000,600000,9579,10875,11433,11867,12194,12615,13093,13647,13938,319,1512,3287,4983,6471,8059,9388,10571,11964
Waray-Waray,Southeast Asia,2570000,2570000,2570000,2570000,2570000,2570000,2570000,2560000,2560000,2517,2608,10837,100879,109295,111472,959358,1258978,1259423,197,799,3016,7838,11005,14157,18158,22346,27002
Welsh,Western Europe,536258,536258,536258,536258,536258,536258,536258,536890,536890,13461,20725,25400,30361,34576,39336,52961,61020,69138,852,3697,8789,13952,18361,23227,27358,30903,35214
West Flemish,Western Europe,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,2460,3263,3951,4244,4387,4584,4787,5244,5765,603,1748,3561,5358,6946,8554,9935,11038,12387
West Frisian,Western Europe,700000,700000,700000,700000,700000,700000,700000,467000,467000,6863,10116,14244,18560,23033,25663,29216,31301,33146,562,2148,4768,7544,10243,13282,15838,18122,20957
Western Panjabi,South Asia,0,0,62648000,62648000,62648000,62648000,62648000,62613000,62613000,2736,2736,2736,10026,20559,25739,30145,33239,38430,943,943,943,3095,5609,8518,10829,12604,14849
Wolof,Africa,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,528,831,1026,1089,1111,1132,1194,1169,1041,179,981,2342,3525,4502,5479,6407,7226,8086
Wu,East Asia,80000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,80000000,338,2841,3114,2879,2942,5004,3187,3506,4047,275,2617,8515,13978,18200,22694,26500,30660,38961
Xhosa,Africa,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,89,109,112,116,125,125,156,381,447,162,635,1257,1816,2310,2310,4044,4590,5223
Yiddish,Western Europe,1510430,1510430,1510430,1510430,1510430,1510430,1510430,1510430,1510430,4633,5490,7022,8146,9144,9867,10599,11722,13013,978,2760,6350,9586,12464,15385,18099,20046,22576
Yoruba,Africa,19380800,19380800,19380800,19380800,19380800,19380800,19380800,19380800,19380800,4721,6242,4857,10548,29846,30485,30747,31072,31113,316,1115,2509,4637,6554,8528,10273,11602,13061
Zazaki,Caucasus Central Asia & Middle East,1140000,1140000,1140000,1140000,1140000,1140000,1140000,3000000,3000000,1766,2853,2821,3113,15922,7746,4290,4902,6094,134,951,2270,3518,5195,8085,9904,11175,12915
Zealandic,Western Europe,220000,220000,220000,220000,220000,220000,220000,220000,220000,451,722,754,799,1054,3582,4117,4278,4286,134,876,1671,2443,3241,4051,4873,5541,6296
Zhuang,East Asia,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,27,40,173,202,343,619,662,665,1065,131,633,1334,1929,2497,3187,3843,4314,5025
Zulu,Africa,28000000,28000000,28000000,28000000,28000000,28000000,28000000,28000000,28000000,125,180,184,212,256,572,613,691,694,164,840,1934,3059,4015,5177,6282,7115,8073
